Date/Time,Word Count,ca,en,es
2018.05.07-18.12.40,75,0,0,75
2018.05.07-18.20.08,77,0,0,77
2018.05.07-18.23.41,77,0,40,77
2018.05.07-18.25.38,77,0,37,77
2018.05.07-18.27.16,73,0,33,73
2018.05.07-18.59.03,114,0,35,114
2018.05.07-19.03.29,112,0,47,112
2018.05.07-19.06.45,114,0,62,114
2018.05.07-19.08.28,114,0,71,114
2018.05.07-19.22.39,132,0,73,132
2018.05.07-23.46.52,117,0,80,117
2018.05.08-00.04.33,219,0,80,219
2018.05.08-00.23.39,222,0,182,222
2018.05.09-23.03.55,225,106,182,225
2018.05.09-23.07.10,225,186,182,225
